image,eye_redness,eye_pain,blurred_vision,sensitivity_to_light,floating_spots,itching,tearing,discharge,crusting_eyelids,cloudy_vision,difficulty_seeing_at_night,sensitivity_to_glare,drooping_eyelids,swelling,irritation,lumps_on_eyelids
162.jpg,,,,,,,,,,,,,,,,0
163.jpg,,,,,,,,,,,,,,,,0
164.jpg,,,,,,,,,,,,,,,,0
165.jpg,,,,,,,,,,,,,,,,0
166.jpg,,,,,,,,,,,,,,,,0
167.jpg,,,,,,,,,,,,,,,,0
168.jpg,,,,,,,,,,,,,,,,0
169.jpg,,,,,,,,,,,,,,,,0
170.jpg,,,,,,,,,,,,,,,,0
171.jpg,,,,,,,,,,,,,,,,0
172.jpg,,,,,,,,,,,,,,,,0
173.jpg,,,,,,,,,,,,,,,,0
174.jpg,,,,,,,,,,,,,,,,0
175.jpg,,,,,,,,,,,,,,,,0
176.jpg,,,,,,,,,,,,,,,,0
177.jpg,,,,,,,,,,,,,,,,0
178.jpg,,,,,,,,,,,,,,,,0
179.jpg,,,,,,,,,,,,,,,,0
180.jpg,,,,,,,,,,,,,,,,0
181.jpg,,,,,,,,,,,,,,,,0
182.jpg,,,,,,,,,,,,,,,,0
183.jpg,,,,,,,,,,,,,,,,0
184.jpg,,,,,,,,,,,,,,,,0
185.jpg,,,,,,,,,,,,,,,,0
186.jpg,,,,,,,,,,,,,,,,0
187.jpg,,,,,,,,,,,,,,,,0
188.jpg,,,,,,,,,,,,,,,,0
189.jpg,,,,,,,,,,,,,,,,0
190.jpg,,,,,,,,,,,,,,,,0
191.jpg,,,,,,,,,,,,,,,,0
192.jpg,,,,,,,,,,,,,,,,0
193.jpg,,,,,,,,,,,,,,,,0
194.jpg,,,,,,,,,,,,,,,,0
195.jpg,,,,,,,,,,,,,,,,0
196.jpg,,,,,,,,,,,,,,,,0
197.jpg,,,,,,,,,,,,,,,,0
198.jpg,,,,,,,,,,,,,,,,0
199.jpg,,,,,,,,,,,,,,,,0
200.jpg,,,,,,,,,,,,,,,,0
201.jpg,,,,,,,,,,,,,,,,0
202.jpg,,,,,,,,,,,,,,,,0
203.jpg,,,,,,,,,,,,,,,,0
204.jpg,,,,,,,,,,,,,,,,0
205.jpg,,,,,,,,,,,,,,,,0
206.jpg,,,,,,,,,,,,,,,,0
207.jpg,,,,,,,,,,,,,,,,0
208.jpg,,,,,,,,,,,,,,,,0
209.jpg,,,,,,,,,,,,,,,,0
210.jpg,,,,,,,,,,,,,,,,0
211.jpg,,,,,,,,,,,,,,,,0
212.jpg,,,,,,,,,,,,,,,,0
213.jpg,,,,,,,,,,,,,,,,0
214.jpg,,,,,,,,,,,,,,,,0
215.jpg,,,,,,,,,,,,,,,,0
216.jpg,,,,,,,,,,,,,,,,0
217.jpg,,,,,,,,,,,,,,,,0
218.jpg,,,,,,,,,,,,,,,,0
219.jpg,,,,,,,,,,,,,,,,0
220.jpg,,,,,,,,,,,,,,,,0
221.jpg,,,,,,,,,,,,,,,,0
222.jpg,,,,,,,,,,,,,,,,0
223.jpg,,,,,,,,,,,,,,,,0
224.jpg,,,,,,,,,,,,,,,,0
225.jpg,,,,,,,,,,,,,,,,0
226.jpg,,,,,,,,,,,,,,,,0
227.jpg,,,,,,,,,,,,,,,,0
228.jpg,,,,,,,,,,,,,,,,0
229.jpg,,,,,,,,,,,,,,,,0
230.jpg,,,,,,,,,,,,,,,,0
231.jpg,,,,,,,,,,,,,,,,0
232.jpg,,,,,,,,,,,,,,,,0
233.jpg,,,,,,,,,,,,,,,,0
234.jpg,,,,,,,,,,,,,,,,0
235.jpg,,,,,,,,,,,,,,,,0
236.jpg,,,,,,,,,,,,,,,,0
237.jpg,,,,,,,,,,,,,,,,0
238.jpg,,,,,,,,,,,,,,,,0
239.jpg,,,,,,,,,,,,,,,,0
240.jpg,,,,,,,,,,,,,,,,0
241.jpg,,,,,,,,,,,,,,,,0
242.jpg,,,,,,,,,,,,,,,,0
243.jpg,,,,,,,,,,,,,,,,0
244.jpg,,,,,,,,,,,,,,,,0
245.jpg,,,,,,,,,,,,,,,,0
246.jpg,,,,,,,,,,,,,,,,0
247.jpg,,,,,,,,,,,,,,,,0
248.jpg,,,,,,,,,,,,,,,,0
249.jpg,,,,,,,,,,,,,,,,0
250.jpg,,,,,,,,,,,,,,,,0
251.jpg,,,,,,,,,,,,,,,,0
252.jpg,,,,,,,,,,,,,,,,0
253.jpg,,,,,,,,,,,,,,,,0
254.jpg,,,,,,,,,,,,,,,,0
255.jpg,,,,,,,,,,,,,,,,0
256.jpg,,,,,,,,,,,,,,,,0
257.jpg,,,,,,,,,,,,,,,,0
258.jpg,,,,,,,,,,,,,,,,0
259.jpg,,,,,,,,,,,,,,,,0
260.jpg,,,,,,,,,,,,,,,,0
261.jpg,,,,,,,,,,,,,,,,0
262.jpg,,,,,,,,,,,,,,,,0
263.jpg,,,,,,,,,,,,,,,,0
264.jpg,,,,,,,,,,,,,,,,0
265.jpg,,,,,,,,,,,,,,,,0
266.jpg,,,,,,,,,,,,,,,,0
267.jpg,,,,,,,,,,,,,,,,0
268.jpg,,,,,,,,,,,,,,,,0
269.jpg,,,,,,,,,,,,,,,,0
270.jpg,,,,,,,,,,,,,,,,0
271.jpg,,,,,,,,,,,,,,,,0
272.jpg,,,,,,,,,,,,,,,,0
273.jpg,,,,,,,,,,,,,,,,0
274.jpg,,,,,,,,,,,,,,,,0
275.jpg,,,,,,,,,,,,,,,,0
276.jpg,,,,,,,,,,,,,,,,0
277.jpg,,,,,,,,,,,,,,,,0
278.jpg,,,,,,,,,,,,,,,,0
279.jpg,,,,,,,,,,,,,,,,0
280.jpg,,,,,,,,,,,,,,,,0
281.jpg,,,,,,,,,,,,,,,,0
282.jpg,,,,,,,,,,,,,,,,0
283.jpg,,,,,,,,,,,,,,,,0
284.jpg,,,,,,,,,,,,,,,,0
285.jpg,,,,,,,,,,,,,,,,0
286.jpg,,,,,,,,,,,,,,,,0
287.jpg,,,,,,,,,,,,,,,,0
288.jpg,,,,,,,,,,,,,,,,0
289.jpg,,,,,,,,,,,,,,,,0
290.jpg,,,,,,,,,,,,,,,,0
291.jpg,,,,,,,,,,,,,,,,0
292.jpg,,,,,,,,,,,,,,,,0
293.jpg,,,,,,,,,,,,,,,,0
294.jpg,,,,,,,,,,,,,,,,0
295.jpg,,,,,,,,,,,,,,,,0
296.jpg,,,,,,,,,,,,,,,,0
297.jpg,,,,,,,,,,,,,,,,0
298.jpg,,,,,,,,,,,,,,,,0
299.jpg,,,,,,,,,,,,,,,,0
300.jpg,,,,,,,,,,,,,,,,0
301.jpg,,,,,,,,,,,,,,,,0
302.jpg,,,,,,,,,,,,,,,,0
303.jpg,,,,,,,,,,,,,,,,0
304.jpg,,,,,,,,,,,,,,,,0
305.jpg,,,,,,,,,,,,,,,,0
306.jpg,,,,,,,,,,,,,,,,0
307.jpg,,,,,,,,,,,,,,,,0
308.jpg,,,,,,,,,,,,,,,,0
309.jpg,,,,,,,,,,,,,,,,0
310.jpg,,,,,,,,,,,,,,,,0
311.jpg,,,,,,,,,,,,,,,,0
312.jpg,,,,,,,,,,,,,,,,0
313.jpg,,,,,,,,,,,,,,,,0
314.jpg,,,,,,,,,,,,,,,,0
315.jpg,,,,,,,,,,,,,,,,0
316.jpg,,,,,,,,,,,,,,,,0
317.jpg,,,,,,,,,,,,,,,,0
318.jpg,,,,,,,,,,,,,,,,0
319.jpg,,,,,,,,,,,,,,,,0
320.jpg,,,,,,,,,,,,,,,,0
321.jpg,,,,,,,,,,,,,,,,0
322.jpg,,,,,,,,,,,,,,,,0
323.jpg,,,,,,,,,,,,,,,,0
324.jpg,,,,,,,,,,,,,,,,0
325.jpg,,,,,,,,,,,,,,,,0
326.jpg,,,,,,,,,,,,,,,,0
327.jpg,,,,,,,,,,,,,,,,0
328.jpg,,,,,,,,,,,,,,,,0
329.jpg,,,,,,,,,,,,,,,,0
330.jpg,,,,,,,,,,,,,,,,0
331.jpg,,,,,,,,,,,,,,,,0
332.jpg,,,,,,,,,,,,,,,,0
333.jpg,,,,,,,,,,,,,,,,0
334.jpg,,,,,,,,,,,,,,,,0
335.jpg,,,,,,,,,,,,,,,,0
336.jpg,,,,,,,,,,,,,,,,0
337.jpg,,,,,,,,,,,,,,,,0
338.jpg,,,,,,,,,,,,,,,,0
339.jpg,,,,,,,,,,,,,,,,0
340.jpg,,,,,,,,,,,,,,,,0
341.jpg,,,,,,,,,,,,,,,,0
342.jpg,,,,,,,,,,,,,,,,0
343.jpg,,,,,,,,,,,,,,,,0
344.jpg,,,,,,,,,,,,,,,,0
345.jpg,,,,,,,,,,,,,,,,0
346.jpg,,,,,,,,,,,,,,,,0
347.jpg,,,,,,,,,,,,,,,,0
348.jpg,,,,,,,,,,,,,,,,0
349.jpg,,,,,,,,,,,,,,,,0
350.jpg,,,,,,,,,,,,,,,,0
351.jpg,,,,,,,,,,,,,,,,0
352.jpg,,,,,,,,,,,,,,,,0
353.jpg,,,,,,,,,,,,,,,,0
354.jpg,,,,,,,,,,,,,,,,0
355.jpg,,,,,,,,,,,,,,,,0
356.jpg,,,,,,,,,,,,,,,,0
357.jpg,,,,,,,,,,,,,,,,0
358.jpg,,,,,,,,,,,,,,,,0
359.jpg,,,,,,,,,,,,,,,,0
360.jpg,,,,,,,,,,,,,,,,0
361.jpg,,,,,,,,,,,,,,,,0
362.jpg,,,,,,,,,,,,,,,,0
363.jpg,,,,,,,,,,,,,,,,0
364.jpg,,,,,,,,,,,,,,,,0
365.jpg,,,,,,,,,,,,,,,,0
366.jpg,,,,,,,,,,,,,,,,0
367.jpg,,,,,,,,,,,,,,,,0
368.jpg,,,,,,,,,,,,,,,,0
369.jpg,,,,,,,,,,,,,,,,0
370.jpg,,,,,,,,,,,,,,,,0
371.jpg,,,,,,,,,,,,,,,,0
372.jpg,,,,,,,,,,,,,,,,0
373.jpg,,,,,,,,,,,,,,,,0
374.jpg,,,,,,,,,,,,,,,,0
375.jpg,,,,,,,,,,,,,,,,0
376.jpg,,,,,,,,,,,,,,,,0
377.jpg,,,,,,,,,,,,,,,,0
378.jpg,,,,,,,,,,,,,,,,0
379.jpg,,,,,,,,,,,,,,,,0
380.jpg,,,,,,,,,,,,,,,,0
381.jpg,,,,,,,,,,,,,,,,0
382.jpg,,,,,,,,,,,,,,,,0
383.jpg,,,,,,,,,,,,,,,,0
384.jpg,,,,,,,,,,,,,,,,0
385.jpg,,,,,,,,,,,,,,,,0
386.jpg,,,,,,,,,,,,,,,,0
387.jpg,,,,,,,,,,,,,,,,0
388.jpg,,,,,,,,,,,,,,,,0
389.jpg,,,,,,,,,,,,,,,,0
390.jpg,,,,,,,,,,,,,,,,0
391.jpg,,,,,,,,,,,,,,,,0
392.jpg,,,,,,,,,,,,,,,,0
393.jpg,,,,,,,,,,,,,,,,0
394.jpg,,,,,,,,,,,,,,,,0
395.jpg,,,,,,,,,,,,,,,,0
396.jpg,,,,,,,,,,,,,,,,0
397.jpg,,,,,,,,,,,,,,,,0
398.jpg,,,,,,,,,,,,,,,,0
399.jpg,,,,,,,,,,,,,,,,0
400.jpg,,,,,,,,,,,,,,,,0
401.jpg,,,,,,,,,,,,,,,,0
402.jpg,,,,,,,,,,,,,,,,0
403.jpg,,,,,,,,,,,,,,,,0
404.jpg,,,,,,,,,,,,,,,,0
405.jpg,,,,,,,,,,,,,,,,0
406.jpg,,,,,,,,,,,,,,,,0
407.jpg,,,,,,,,,,,,,,,,0
408.jpg,,,,,,,,,,,,,,,,0
409.jpg,,,,,,,,,,,,,,,,0
410.jpg,,,,,,,,,,,,,,,,0
411.jpg,,,,,,,,,,,,,,,,0
412.jpg,,,,,,,,,,,,,,,,0
413.jpg,,,,,,,,,,,,,,,,0
414.jpg,,,,,,,,,,,,,,,,0
415.jpg,,,,,,,,,,,,,,,,0
416.jpg,,,,,,,,,,,,,,,,0
417.jpg,,,,,,,,,,,,,,,,0
418.jpg,,,,,,,,,,,,,,,,0
419.jpg,,,,,,,,,,,,,,,,0
420.jpg,,,,,,,,,,,,,,,,0
421.jpg,,,,,,,,,,,,,,,,0
422.jpg,,,,,,,,,,,,,,,,0
423.jpg,,,,,,,,,,,,,,,,0
424.jpg,,,,,,,,,,,,,,,,0
425.jpg,,,,,,,,,,,,,,,,0
426.jpg,,,,,,,,,,,,,,,,0
427.jpg,,,,,,,,,,,,,,,,0
428.jpg,,,,,,,,,,,,,,,,0
429.jpg,,,,,,,,,,,,,,,,0
430.jpg,,,,,,,,,,,,,,,,0
431.jpg,,,,,,,,,,,,,,,,0
432.jpg,,,,,,,,,,,,,,,,0
433.jpg,,,,,,,,,,,,,,,,0
434.jpg,,,,,,,,,,,,,,,,0
435.jpg,,,,,,,,,,,,,,,,0
436.jpg,,,,,,,,,,,,,,,,0
437.jpg,,,,,,,,,,,,,,,,0
438.jpg,,,,,,,,,,,,,,,,0
439.jpg,,,,,,,,,,,,,,,,0
440.jpg,,,,,,,,,,,,,,,,0
441.jpg,,,,,,,,,,,,,,,,0
442.jpg,,,,,,,,,,,,,,,,0
443.jpg,,,,,,,,,,,,,,,,0
444.jpg,,,,,,,,,,,,,,,,0
445.jpg,,,,,,,,,,,,,,,,0
446.jpg,,,,,,,,,,,,,,,,0
447.jpg,,,,,,,,,,,,,,,,0
448.jpg,,,,,,,,,,,,,,,,0
449.jpg,,,,,,,,,,,,,,,,0
450.jpg,,,,,,,,,,,,,,,,0
451.jpg,,,,,,,,,,,,,,,,0
452.jpg,,,,,,,,,,,,,,,,0
453.jpg,,,,,,,,,,,,,,,,0
454.jpg,,,,,,,,,,,,,,,,0
455.jpg,,,,,,,,,,,,,,,,0
456.jpg,,,,,,,,,,,,,,,,0
457.jpg,,,,,,,,,,,,,,,,0
458.jpg,,,,,,,,,,,,,,,,0
459.jpg,,,,,,,,,,,,,,,,0
460.jpg,,,,,,,,,,,,,,,,0
461.jpg,,,,,,,,,,,,,,,,0
462.jpg,,,,,,,,,,,,,,,,0
463.jpg,,,,,,,,,,,,,,,,0
464.jpg,,,,,,,,,,,,,,,,0
465.jpg,,,,,,,,,,,,,,,,0
466.jpg,,,,,,,,,,,,,,,,0
467.jpg,,,,,,,,,,,,,,,,0
468.jpg,,,,,,,,,,,,,,,,0
469.jpg,,,,,,,,,,,,,,,,0
470.jpg,,,,,,,,,,,,,,,,0
471.jpg,,,,,,,,,,,,,,,,0
472.jpg,,,,,,,,,,,,,,,,0
473.jpg,,,,,,,,,,,,,,,,0
474.jpg,,,,,,,,,,,,,,,,0
475.jpg,,,,,,,,,,,,,,,,0
476.jpg,,,,,,,,,,,,,,,,0
477.jpg,,,,,,,,,,,,,,,,0
478.jpg,,,,,,,,,,,,,,,,0
479.jpg,,,,,,,,,,,,,,,,0
480.jpg,,,,,,,,,,,,,,,,0
481.jpg,,,,,,,,,,,,,,,,0
482.jpg,,,,,,,,,,,,,,,,0
483.jpg,,,,,,,,,,,,,,,,0
484.jpg,,,,,,,,,,,,,,,,0
485.jpg,,,,,,,,,,,,,,,,0
486.jpg,,,,,,,,,,,,,,,,0
487.jpg,,,,,,,,,,,,,,,,0
488.jpg,,,,,,,,,,,,,,,,0
489.jpg,,,,,,,,,,,,,,,,0
490.jpg,,,,,,,,,,,,,,,,0
491.jpg,,,,,,,,,,,,,,,,0
492.jpg,,,,,,,,,,,,,,,,0
493.jpg,,,,,,,,,,,,,,,,0
494.jpg,,,,,,,,,,,,,,,,0
495.jpg,,,,,,,,,,,,,,,,0
496.jpg,,,,,,,,,,,,,,,,0
497.jpg,,,,,,,,,,,,,,,,0
498.jpg,,,,,,,,,,,,,,,,0
499.jpg,,,,,,,,,,,,,,,,0
500.jpg,,,,,,,,,,,,,,,,0
501.jpg,,,,,,,,,,,,,,,,0
502.jpg,,,,,,,,,,,,,,,,0
503.jpg,,,,,,,,,,,,,,,,0
504.jpg,,,,,,,,,,,,,,,,0
505.jpg,,,,,,,,,,,,,,,,0
506.jpg,,,,,,,,,,,,,,,,0
507.jpg,,,,,,,,,,,,,,,,0
508.jpg,,,,,,,,,,,,,,,,0
509.jpg,,,,,,,,,,,,,,,,0
510.jpg,,,,,,,,,,,,,,,,0
511.jpg,,,,,,,,,,,,,,,,0
512.jpg,,,,,,,,,,,,,,,,0
513.jpg,,,,,,,,,,,,,,,,0
514.jpg,,,,,,,,,,,,,,,,0
515.jpg,,,,,,,,,,,,,,,,0
516.jpg,,,,,,,,,,,,,,,,0
517.jpg,,,,,,,,,,,,,,,,0
518.jpg,,,,,,,,,,,,,,,,0
519.jpg,,,,,,,,,,,,,,,,0
520.jpg,,,,,,,,,,,,,,,,0
521.jpg,,,,,,,,,,,,,,,,0
522.jpg,,,,,,,,,,,,,,,,0
523.jpg,,,,,,,,,,,,,,,,0
524.jpg,,,,,,,,,,,,,,,,0
525.jpg,,,,,,,,,,,,,,,,0
526.jpg,,,,,,,,,,,,,,,,0
527.jpg,,,,,,,,,,,,,,,,0
528.jpg,,,,,,,,,,,,,,,,0
529.jpg,,,,,,,,,,,,,,,,0
530.jpg,,,,,,,,,,,,,,,,0
531.jpg,,,,,,,,,,,,,,,,0
532.jpg,,,,,,,,,,,,,,,,0
533.jpg,,,,,,,,,,,,,,,,0
534.jpg,,,,,,,,,,,,,,,,0
535.jpg,,,,,,,,,,,,,,,,0
536.jpg,,,,,,,,,,,,,,,,0
537.jpg,,,,,,,,,,,,,,,,0
538.jpg,,,,,,,,,,,,,,,,0
539.jpg,,,,,,,,,,,,,,,,0
540.jpg,,,,,,,,,,,,,,,,0
541.jpg,,,,,,,,,,,,,,,,0
542.jpg,,,,,,,,,,,,,,,,0
543.jpg,,,,,,,,,,,,,,,,0
544.jpg,,,,,,,,,,,,,,,,0
545.jpg,,,,,,,,,,,,,,,,0
546.jpg,,,,,,,,,,,,,,,,0
547.jpg,,,,,,,,,,,,,,,,0
548.jpg,,,,,,,,,,,,,,,,0
549.jpg,,,,,,,,,,,,,,,,0
550.jpg,,,,,,,,,,,,,,,,0
551.jpg,,,,,,,,,,,,,,,,0
552.jpg,,,,,,,,,,,,,,,,0
553.jpg,,,,,,,,,,,,,,,,0
554.jpg,,,,,,,,,,,,,,,,0
555.jpg,,,,,,,,,,,,,,,,0
556.jpg,,,,,,,,,,,,,,,,0
557.jpg,,,,,,,,,,,,,,,,0
558.jpg,,,,,,,,,,,,,,,,0
559.jpg,,,,,,,,,,,,,,,,0
560.jpg,,,,,,,,,,,,,,,,0
561.jpg,,,,,,,,,,,,,,,,0
562.jpg,,,,,,,,,,,,,,,,0
563.jpg,,,,,,,,,,,,,,,,0
564.jpg,,,,,,,,,,,,,,,,0
565.jpg,,,,,,,,,,,,,,,,0
566.jpg,,,,,,,,,,,,,,,,0
567.jpg,,,,,,,,,,,,,,,,0
568.jpg,,,,,,,,,,,,,,,,0
569.jpg,,,,,,,,,,,,,,,,0
570.jpg,,,,,,,,,,,,,,,,0
571.jpg,,,,,,,,,,,,,,,,0
572.jpg,,,,,,,,,,,,,,,,0
573.jpg,,,,,,,,,,,,,,,,0
574.jpg,,,,,,,,,,,,,,,,0
575.jpg,,,,,,,,,,,,,,,,0
576.jpg,,,,,,,,,,,,,,,,0
577.jpg,,,,,,,,,,,,,,,,0
578.jpg,,,,,,,,,,,,,,,,0
579.jpg,,,,,,,,,,,,,,,,0
580.jpg,,,,,,,,,,,,,,,,0
581.jpg,,,,,,,,,,,,,,,,0
582.jpg,,,,,,,,,,,,,,,,0
583.jpg,,,,,,,,,,,,,,,,0
584.jpg,,,,,,,,,,,,,,,,0
585.jpg,,,,,,,,,,,,,,,,0
586.jpg,,,,,,,,,,,,,,,,0
587.jpg,,,,,,,,,,,,,,,,0
588.jpg,,,,,,,,,,,,,,,,0
589.jpg,,,,,,,,,,,,,,,,0
590.jpg,,,,,,,,,,,,,,,,0
591.jpg,,,,,,,,,,,,,,,,0
592.jpg,,,,,,,,,,,,,,,,0
593.jpg,,,,,,,,,,,,,,,,0
594.jpg,,,,,,,,,,,,,,,,0
595.jpg,,,,,,,,,,,,,,,,0
596.jpg,,,,,,,,,,,,,,,,0
597.jpg,,,,,,,,,,,,,,,,0
598.jpg,,,,,,,,,,,,,,,,0
599.jpg,,,,,,,,,,,,,,,,0
